U,V,W,X,Y,Z
0.6841686650859645,0.6819390337260076,0.8847647268615946,0.527318309224795,0.36764361798492906,0.24000932534946634
0.8067009536014013,0.6303762546332982,0.1733227889911982,0.7626069615858871,0.8183066539246326,0.6629654738289668
0.5959868014498311,0.6750579767726534,0.5293470135098941,0.6221449230950934,0.32795986168469843,0.6324991718673306
0.8880922170899808,0.6743174678690782,0.7939760600010191,0.7776752125099501,0.763280177720922,0.8029369956223474
0.361490591309544,0.6156591866144889,0.4270523727482119,0.4568320674392511,0.48113415947186444,0.3754879540919567
0.8576585935642962,0.8156477437465521,0.8161594710154352,0.8685700152611895,0.8758036755290577,0.8117054184533645
0.45412215043133386,0.33146322384138466,0.3319020030248173,0.19715048450129957,0.14981162272793327,0.34682384940463146
0.907817338832165,0.7649803650466164,0.8008087055501037,0.5681318999932629,0.4760551433843929,0.8192089730411857
0.30965512989392585,0.430027220985838,0.3784367108751182,0.7782776159289452,0.8489264733795004,0.41999045316522166
0.8000722180266164,0.8598886940402597,0.8182958746641267,0.5486310691253594,0.26577037155647515,0.7756385851616963
0.5809312198456463,0.20195576296866186,0.31023227019221633,0.765354020547069,0.6723319433633512,0.5689039215007484
0.9288589018255489,0.5790345948908585,0.791726196200469,0.5968021436789368,0.6575146368908789,0.7911380019706249
0.2360448475857394,0.7124922917724166,0.45940953642353183,0.7379411820690394,0.7204229746670996,0.4373854359200244
0.6711083762195796,0.6979284414415757,0.8113217901781629,0.5985225484524026,0.5786276820479511,0.7985919754788278
0.8128903725281712,0.6105065338366634,0.3891450082224731,0.7400679664405009,0.8087172514583365,0.4386254244867537
0.5710034486034142,0.7034256698744413,0.7957934986450266,0.6274291985900339,0.37319804259379585,0.7912811987223156
0.8935847825738605,0.5977303649972275,0.4023519631058007,0.6991163511541767,0.7909356972668027,0.5076622418724495
0.3560135373991452,0.7097023264207122,0.8116378674286453,0.7088844219698116,0.4354096283890883,0.7885838116589217
0.8614131160895692,0.676859189839037,0.37995497252030846,0.5717419218526085,0.8031146207155636,0.490337537814313
0.43876213491500693,0.6128955970803873,0.8056135651446734,0.8482695975762995,0.42100761416019034,0.7878836561244353
0.9093132791016392,0.7775043203776835,0.4067505098396212,0.24173460251461465,0.7896837659077677,0.5082746359675031
0.30161327845505415,0.39746776393433925,0.7974304846567675,0.6606468877695317,0.5678778282789989,0.8088873662486047
0.784531816848966,0.855317799555104,0.48814187387294633,0.6544566220300712,0.788764727627461,0.4146139559129309
0.6134479373615549,0.22285677120891756,0.794432420456784,0.7485503511688316,0.4621096822510327,0.7760184933708926
0.8723539579927742,0.6037351606206455,0.5424886516037005,0.5195802592364785,0.8320362798999497,0.5184667710301365
0.4126815153347066,0.7098780177443054,0.8085028488167193,0.8461018384383245,0.3977549764910586,0.7839885674716905
0.9016318975361345,0.675480669388848,0.3902103983907941,0.23493374706245637,0.7858327564239915,0.5313651715897361
0.31166978638051457,0.6103795238330786,0.7897830887566873,0.6605889383012891,0.5685975580153364,0.7952316640273743
0.7798923287007953,0.8334368884342663,0.46934863830342066,0.6540795417681324,0.7957045321630302,0.4508804077281659
0.6249489541006489,0.2901632746331092,0.8113462007915745,0.7473646113114553,0.4336418919615386,0.7976218060617682
0.8660404448755658,0.7152862810931919,0.4782569888274832,0.5112018026487636,0.8034431159536418,0.4848345796409389
0.44978339624823876,0.5422313697028415,0.8074295138334492,0.8570983032126377,0.4293178578756647,0.7974854449263308
0.9079753684758521,0.8350678528686456,0.42495354018988735,0.20425478745156275,0.8038959526683535,0.4802225722705298
0.31245899843104646,0.25018242536571655,0.7695708260501128,0.5660164261436925,0.5359821108900764,0.7884282754724474
0.8027311403236248,0.6647713792258828,0.6035269653548689,0.7639520341436318,0.8332858361460759,0.47649482855598974
0.5740590481376404,0.6343616440271075,0.7454280127829945,0.5420307767019369,0.3129292059063092,0.7924972525277516
0.9096009639154704,0.7258655227027931,0.5493887675972592,0.7998438601353718,0.7622442938151716,0.5305390321753456
0.31072166595129624,0.5061293891358418,0.7802886725349812,0.44146564811795236,0.4582307055078073,0.7942686369999525
0.7819246832112925,0.888538093368187,0.5068866617164488,0.8047862231545764,0.8796544394847241,0.47957874395992106
0.6252835658182734,0.12234325689874649,0.778455084433449,0.4588495808877066,0.1676451797617723,0.7999762952582121
0.8737726443397993,0.3720643822061837,0.6114494201411662,0.8077561635138358,0.49129325786042,0.5541101716335484
0.39354426586861196,0.7606515837235607,0.8176859254946639,0.40008082338744844,0.8059894984074145,0.8280680452238964
0.8879841137241895,0.5818932615354792,0.3499547425294438,0.7838140256777099,0.4855487622076857,0.31003439222270224
0.3787350694490118,0.7210769647804435,0.7782761664692801,0.5504007588773853,0.8007549777653685,0.754224055459343
0.8743629665976631,0.6559276627146193,0.46085017291132335,0.7564173560790718,0.459321984364539,0.476882212281073
0.41331756147719106,0.6396516790539019,0.8162463276865606,0.5620932336991912,0.827360314405301,0.8575222234339809
0.9002436539262789,0.7667231704907981,0.3729650120518516,0.7581188597894915,0.3870834023285508,0.21935275603793697
0.3324486726769195,0.4123091962561628,0.7769715108960105,0.58695581863878,0.7895826720179198,0.6279291786654237
0.8149104956346782,0.8434565829452123,0.5401448125317124,0.7437724540974571,0.4619611085418038,0.6832663794385387
0.5549919797729733,0.24580504455918845,0.7837242954765988,0.5878956586992035,0.8095882837918066,0.6942181348858706
0.9105253351816309,0.6484555074573485,0.5624441557464374,0.7376774046433311,0.4200498205648123,0.6019067009044242
0.30050135831977914,0.64882814659413,0.8073929157726947,0.5784994543206164,0.8226726252602875,0.7971858008343756
0.7737879091957266,0.7889010895013255,0.378140240958988,0.7487643609513588,0.4089831062482705,0.3666934172669728
0.6381886614965097,0.4026845667042162,0.7638154289240311,0.6145482925223302,0.8174955312923917,0.812601653600503
0.8618019570162823,0.8068513667578621,0.5577589602330659,0.7296016867105661,0.4080017207619022,0.35208240919212436
0.44626007298586234,0.33100865517660955,0.7665558628901742,0.5964296399675053,0.8112168740946051,0.7882935660314067
0.9169741485222692,0.7593310796231376,0.5810309320712794,0.7326916018520219,0.42619972925380956,0.413478807983677
