S,T,U,V,W,X,Y,Z
0.9275820243597864,0.820796566492211,0.49733452304532516,0.22873251579264833,0.7105469955447177,0.4369955859283773,0.8157998581338163,0.8534285024018856
0.2325616130969892,0.27720125285475433,0.7852884668917719,0.6072468897099671,0.7082586971317988,0.8133709685124318,0.4320038425080254,0.22390253792005935
0.6568653361957658,0.7281740415839142,0.5566811241837527,0.7285522293495438,0.6312211762911581,0.3862603377409098,0.802332969904847,0.6206926302107003
0.8288891788338243,0.5687531284964178,0.7686613601444698,0.5944800377031009,0.6999654526472572,0.8033903994864746,0.4923511888677916,0.713931200159038
0.5377576034923773,0.7374939798213288,0.5034564656068976,0.7465815504125143,0.6355879563852337,0.41708535922242196,0.8123704960033911,0.634417341057756
0.9204022989568756,0.5894874128772318,0.794888349481756,0.5803484722799342,0.7232793933612153,0.8251122448859054,0.45784539381202166,0.6965984812956237
0.28310868319171784,0.6999095743716112,0.44064863914296404,0.7557904997031731,0.5871447965557461,0.34179372279839604,0.7907323570783972,0.6935576070011342
0.747986638048812,0.7287311749912139,0.795075942213192,0.587230258359103,0.770842120288875,0.7692994143617709,0.525891571974379,0.6025628390792868
0.6872656232554146,0.5498027789077535,0.42008179880298824,0.7447814427491581,0.5053138463087754,0.4594536460304274,0.7921930090191163,0.7949059835658926
0.7834442112145639,0.8069758123276825,0.8139228863390469,0.6032938919833556,0.82620232316867,0.8540196401802861,0.48387494511216766,0.3908421335812455
0.6038639089355249,0.3634683557676534,0.3258230643552791,0.71790290392083,0.3606817535272569,0.20774523677431425,0.79846075130288,0.8195136017389263
0.8883869003345157,0.7916690976061488,0.7555320412250686,0.6587903588297328,0.7716323958653357,0.5851266222258619,0.5532638397226306,0.31697824568442684
0.3745692559301153,0.3634721675571598,0.4771115653887574,0.666443323235043,0.4710387900795626,0.746856696855907,0.8044911372062258,0.7715414174101851
0.8774045400991184,0.8186638286531739,0.8722498051500076,0.7083568955425322,0.8296546092431257,0.5956447414508063,0.388418701897893,0.4441813205426647
0.40447508813760125,0.30080366008142234,0.1585774260204784,0.5476308794355377,0.310863222743987,0.73942852052789,0.7993171549838404,0.8742141596823001
0.8951694968382982,0.7422499297669725,0.49171859153213554,0.8911029589502755,0.7381341087974134,0.6410935740737116,0.39593968314432726,0.17650462847519768
0.36247368024673,0.4996482283542169,0.8088502847051714,0.20799603350588902,0.4944040585031935,0.6986646387702967,0.7988053002349669,0.5218948439860516
0.8404765196865951,0.8769349253113387,0.442470430189996,0.5446440976819719,0.9015624965226947,0.6724736160083921,0.4122643263234957,0.7941993569629395
0.5061829705535013,0.14150833874787788,0.789211754422611,0.8533038160082863,0.17164487055903743,0.6128281338682328,0.8103509448648287,0.5043343818130204
